192.83,226.10,226.17,226.09,226.18,226.17,226.12,226.15,226.13,226.12,226.10,226.17,226.17,226.20,226.21,195.02
219.03,235.43,196.25,199.89,198.29,202.47,205.91,219.10,218.62,210.04,204.34,250.63,251.41,251.54,251.57,219.88
219.05,232.54,225.02,195.40,226.18,215.02,213.09,251.40,251.44,251.45,251.44,251.50,251.42,251.53,251.45,220.81
218.91,247.13,246.32,243.83,245.50,247.90,244.45,247.69,251.18,251.26,251.00,251.05,251.16,251.27,251.53,220.10
218.63,241.23,241.48,239.03,235.56,242.00,238.10,243.94,250.60,250.69,250.57,250.62,250.67,250.57,250.61,219.37
219.11,194.35,155.58,120.43,176.92,152.24,251.53,251.42,251.48,251.49,251.39,251.58,251.51,251.42,251.67,220.08
219.09,196.88,122.99,110.64,128.25,156.75,251.47,251.42,251.42,251.56,251.42,251.49,251.40,251.57,251.44,220.42
218.91,211.78,115.05,131.18,101.49,182.49,251.22,251.19,251.26,251.20,242.58,235.27,235.40,240.81,251.38,220.16
218.71,229.90,225.44,207.10,237.16,214.54,250.69,250.64,250.65,236.00,225.26,221.61,220.44,224.50,234.67,219.88
219.13,251.49,251.47,251.45,251.56,251.43,251.47,251.46,251.47,222.19,224.90,220.80,222.72,222.76,220.57,220.05
219.13,251.44,251.50,251.42,251.47,251.46,251.52,251.44,251.45,230.13,224.56,224.38,222.53,225.67,227.60,220.09
218.98,251.09,251.18,251.17,251.18,250.78,246.81,245.77,245.83,241.54,226.38,218.50,213.26,219.17,245.05,220.09
218.82,245.35,235.37,235.38,233.01,230.43,234.74,232.42,231.03,234.88,232.96,230.84,235.03,235.23,244.00,219.91
219.12,245.55,236.46,236.70,238.81,241.59,241.86,244.58,246.68,246.26,249.10,251.53,251.41,251.36,251.43,220.37
219.11,238.78,225.23,222.71,223.71,233.71,221.72,224.99,222.20,247.33,251.45,251.46,251.39,251.72,251.63,220.52
194.43,226.85,226.98,226.92,226.91,226.79,226.82,226.89,226.80,226.87,226.61,226.99,226.81,226.91,227.17,195.30
