60.32,80.56,92.96,120.63,124.31,124.14,125.15,123.00,122.58,119.46,117.77,112.66,107.48,101.92,96.07,88.55
31.93,30.86,72.31,121.87,124.35,125.99,125.27,124.37,122.08,120.42,117.07,112.65,107.64,101.75,95.71,89.24
43.99,43.93,89.56,122.97,124.74,126.59,125.94,125.35,124.61,121.49,117.01,113.50,107.07,101.75,96.00,89.18
49.74,53.23,104.89,123.41,125.76,126.80,127.51,125.15,124.92,123.07,118.17,112.42,106.27,100.55,95.63,89.35
53.14,70.54,110.78,124.08,127.70,127.83,129.38,126.41,125.78,123.92,120.26,112.56,106.60,100.52,95.97,89.88
59.42,86.10,112.00,122.23,127.25,128.64,129.51,126.59,124.31,122.63,119.57,112.09,106.45,101.61,96.21,90.25
76.95,97.62,115.86,130.53,138.04,140.68,141.10,140.17,139.57,139.08,137.91,133.42,114.97,99.86,94.94,89.43
90.64,105.09,131.12,162.73,163.22,168.94,164.19,161.22,160.89,156.29,150.37,144.49,114.57,99.33,93.23,89.34
97.22,108.04,121.80,151.21,151.82,158.52,154.09,155.09,158.08,152.82,146.95,141.95,112.95,97.46,92.93,87.54
102.37,111.07,129.58,155.77,147.77,154.18,151.61,152.33,153.09,145.35,142.24,128.84,114.24,96.13,91.35,85.29
105.57,110.94,119.76,117.09,122.69,114.34,122.51,118.40,106.15,114.10,112.12,104.94,100.06,96.15,90.18,84.43
108.18,111.69,115.98,116.95,119.10,120.42,120.32,118.07,114.59,112.12,109.22,103.81,97.83,94.52,88.68,82.26
108.73,111.85,114.77,115.78,117.00,118.45,117.03,114.70,111.43,108.58,105.70,100.44,96.46,93.33,86.88,80.59
108.57,110.81,113.90,114.86,114.65,114.87,112.69,109.56,108.73,104.65,101.16,97.00,93.30,89.48,85.04,78.63
109.17,111.29,112.98,113.03,112.07,111.58,110.23,106.55,103.90,101.53,97.84,95.35,91.30,87.06,82.78,76.87
108.72,110.48,110.89,111.58,110.46,109.45,107.03,102.63,99.63,97.77,95.68,93.35,88.33,83.56,80.38,74.10
