31.81,29.90,27.65,80.31,115.76,139.46,119.57,95.34,74.00,74.82,97.31,104.84,97.20,92.16,61.90,44.78
49.57,29.33,20.60,22.26,27.57,29.21,27.24,24.65,23.09,24.67,23.73,22.41,19.02,13.63,10.01,36.27
71.89,26.85,13.18,34.11,99.74,108.12,114.96,119.49,122.69,124.25,123.64,118.19,77.28,15.62,7.54,31.56
73.56,31.87,14.03,43.00,155.59,137.79,144.61,146.23,145.99,143.68,137.24,149.84,100.75,16.85,6.64,45.24
62.78,48.71,14.88,37.54,159.90,140.74,148.78,148.43,151.50,148.32,144.87,155.86,102.23,17.16,8.47,49.84
58.19,62.90,15.19,31.37,162.67,150.98,157.98,155.14,158.07,152.25,147.04,158.55,101.22,16.75,12.70,47.51
69.30,81.42,15.66,23.92,162.16,155.63,163.00,161.55,164.03,159.67,154.45,160.77,98.89,17.22,17.18,46.74
92.34,92.74,33.35,18.48,154.13,162.95,170.93,172.05,173.95,170.61,163.95,159.81,93.57,15.36,23.73,102.36
119.44,105.20,60.65,17.09,140.94,166.24,153.83,166.11,179.58,176.88,169.45,156.36,86.94,13.78,33.43,140.70
126.53,98.12,58.25,15.20,125.99,156.00,146.43,151.66,154.91,160.53,159.55,147.73,77.90,12.58,35.44,132.99
112.76,106.48,80.79,12.85,110.00,144.23,136.04,141.76,147.21,150.89,147.74,136.80,66.53,11.54,41.87,112.85
117.92,96.91,42.35,10.61,94.59,131.35,125.14,134.42,140.92,140.76,134.80,125.40,63.60,12.42,39.87,44.76
119.00,77.66,28.45,9.23,81.38,119.67,113.47,114.00,118.78,122.28,122.86,116.09,65.66,10.90,13.55,62.23
78.47,47.46,22.30,9.75,61.93,90.83,90.52,91.40,91.95,92.00,89.94,86.75,36.39,10.78,23.55,17.51
59.56,45.82,52.22,12.48,13.05,12.69,13.65,14.48,18.19,17.95,19.14,19.16,18.39,17.36,28.70,19.71
42.01,79.36,87.04,79.43,65.07,57.25,66.03,74.37,84.18,93.60,100.06,106.43,119.64,145.12,47.07,14.85
